"name","N-methyl-pyrrol","pyridine","methylpyridine1","methylpyridine2","pyrrole","methylpyrrol1","methylpyrrol2","Pyridol","Indole","Methylindole"
"RT",,,,,,,,,,
"MW",,,,,,,,,,
"m/z",,,,,,,,,,
"class","p","p","p","p","p","p","p","p","ind","ind"
"origin","N","N","N","N","N","N","N","N","N","N"
"tic",5.4743220269,1.6763104903,1.4113710874,0.5530547433,1.8853371611,1.8407913815,2.2955035346,2.1142456847,2.9698643238,0
"exclude",F,F,F,F,F,F,F,F,F,F
,,,,,,,,,,
"sim",,,,,,,,,,
"Filename","Area","Area","Area","Area","Area","Area","Area","Area","Area","Area"
"AK-4-D",,1.6452826452,2.7345523196,1.5698142017,1.9298136091,3.0992907767,2.3108463377,2.0691518815,4.7484267149,0
"AK-4-E",,1.5434869228,1.4548858905,1.051767652,3.2982741921,2.2221229662,2.1788672028,2.0469966898,3.6849842973,0
"KL-0-A",5.6977904801,1.6657432593,1.6431625446,0.6789324541,1.8134739923,1.9111744634,2.3494718967,2.0437133117,2.4335075582,0
"KL-0-B",,1.6917445033,1.6039530818,1.6360398237,1.8425202433,1.9686732854,2.2571019785,2.0584973648,2.3996306986,0
"KL-0-C",5.4175707977,1.6023914067,1.399413045,0.3996261213,1.8400506724,1.8378591241,2.3128458481,2.0403597416,2.3167833941,0
"KL-0-D",,1.6731379789,1.5870602853,1.5947541631,1.807151521,2.0212352461,2.3664233792,2.020527513,2.3407071689,0
"KL-2-A",5.7622773537,1.7984315927,1.4723348344,0.4462647077,1.8675152593,1.5224878482,2.3606487728,2.2442363379,2.1095703575,0
"KL-2-B",,1.6766527774,1.2098155771,1.1416617127,1.9812916124,1.843723639,2.147617194,2.105742345,2.1355340906,0
"KL-2-C",5.4477798493,1.7057104377,1.5327429799,0.2485739677,1.8286897686,1.7560371178,2.1797855894,2.1511268743,2.3554798661,0
"KL-2-D",5.7780951213,1.700436719,1.5206139239,0.3984938664,1.8591294167,1.5672799662,2.1745342263,2.1977890511,2.1102542923,0
"KL-3-A",4.8881445544,1.7226319017,1.287954657,,1.9266721691,1.6603633574,2.2906206435,1.9618981213,2.1205659738,0
