"total_plfa","id_plfa","fung_bm","sum_gpos","sum_bact","f2b1","f2b2","f2b3","i14:0","14:0","i15:0","a15:0","15:0","i16:0","14-Me-15:1(4)","16:0","16:1(9)c","16:1(11)t","i17:0","a17:0","i17:1(9)c","17:0","cy17:0(9.10)","18:0","18:1(9)t","18:1(9)c","18:1(11)c","18:2(9,12)t","18:2(9,12)c","18:3(6,9,12)c","cy19:0(9.10)","18:3(9,12,15)c","20:0","20:4(5,8,11,14)c","22:0","23:0","24:0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371.98,1586.08,21.91,50.99,664.75,5.07,0.0497,1.2545,1.49,5.93,12.8,22.86,8.01,6.84,7.03,485.59,80.89,7.74,2.12,4.88,2.72,23.05,22.49,53.32,6.28,110.25,74.08,0.6,258.55,33.06,7.63,285.3,8.24,3.57,29.28,9.3,12.18
466.66,2012.59,27.75,77.08,832.52,4.25,0.0747,1.2749,4.4,11.04,22.3,32.18,10.83,8.84,12.64,585.4,102.7,12.33,3.25,6.11,3.66,27.51,26.34,69.72,8.08,131.11,97.97,0.83,327.43,62.18,12.26,356.15,10.54,4.44,37.72,11.12,13.51
380.64,1679.48,25.56,57.15,692.42,5.28,0.0663,1.293,3.39,8.38,15.3,24.6,9.62,7.25,7.94,495.78,84.98,9.41,2.45,4.15,3.16,24.8,21.88,57.65,5.41,112.76,76.77,0.54,301.55,45.88,7.76,287.86,8.92,3.9,28.88,8.21,10.34
417.36,1833.53,27.48,71.35,759.98,4.55,0.0955,1.273,3.53,10.85,20.36,32.43,11.55,8.24,12.76,537.14,102,11.69,2.21,4.59,3.53,24.23,26.64,57.72,6.83,116.74,85.2,0.7,324.31,72.61,8.81,284.45,8.31,4.6,30.21,8.8,12.51
449.72,1929.92,29.51,74.85,794.09,4.65,0.0412,1.2826,3.78,8.98,21.39,30.88,11.55,9.13,11.03,563.25,107.67,11.16,2.99,6.69,3.6,27.21,31.22,54.04,7.97,138.87,97.45,0.84,348.19,32.72,11.84,308.13,10.07,5.23,37.44,10.77,15.83
186.25,822.59,13.07,46.75,372.4,3.3,0.0138,1.0325,2.54,4.46,12.3,17.29,5.4,7.64,4.46,242.78,45.3,10.33,2.77,4.21,2.99,12.03,15.16,28.74,1.97,58.73,54.75,0.99,154.17,5.15,6.77,86.85,8.46,3.5,12.93,4.17,5.77
188.44,851.74,11.61,58.35,425.08,2.35,0.0096,0.857,5.5,9.72,15.92,23.71,7.65,7.5,11.98,279.29,47.64,8.62,2.01,3.71,4.33,13.08,13.58,29.65,1,56.53,43.99,0.54,137.01,4.07,5.14,95.84,4.02,2.04,10.68,3,3.99
227.77,1021.1,16.35,55.74,478.52,3.46,0.0038,0.9831,2.8,5.74,14.91,21.47,7.56,8.63,4.82,324.92,57.36,8.99,2.8,5.13,3.58,16.21,20.63,30.12,1.61,71.04,60.77,0.85,192.97,1.82,8.59,120.41,4.04,2.99,12.26,3.62,4.44
