"","f1tic","f2tic","f3tic","f4tic","f5tic","f6tic","f7tic","f8tic","f9tic","cp10tic","f11tic","cp12tic","cp13tic","f14tic","f15tic","ar1tic","ar2tic","ar3tic","ar4tic","ar5tic","ar6tic","ph1tic","ph2tic","ph3tic","ph4tic","ph5tic","ph6tic","ph7tic","ph8tic","cp1tic","cp2tic","cp3tic","f4tic.1","cp5tic","f6tic.1","cp7tic","f8tic.1","f9tic.1","f10tic","cp1tic.1","cp2tic.1","cp3tic.1","cp4tic","cp5tic.1","cp6tic","cp7tic.1","cp8tic","p1tic","p2tic","p3tic","p4tic","p5tic","p6tic","p7tic","p8tic","ind9tic","ind10tic","cut01tic","cut12tic","cut03tic","cut14tic","cut05tic","cut16tic","al1tic","short2tic","f3tic.1","cp4tic.1","ar5tic.1","ter6tic","p7tic.1","f8tic.2","unk9tic","al10tic","al11tic","al12tic","cp13tic.1","cp14tic","al15tic","ar16tic","cp17tic","ar18tic","cp19tic","cp20tic","o21tic","al22tic","unk23tic","unk24tic","unk25tic","al26tic","o27tic","bf28tic","unk29tic","g1tic","g2tic","g3tic","g4tic","g5tic","g6tic","sy7tic","g8tic","sy9tic","sy10tic","ph11tic","sy12tic","sy13tic","g14tic","g15tic","g16tic","sy17tic","g18tic","g19tic","sy20tic","sy21tic","ph22tic","sy23tic","g24tic","sy25tic","sy26tic","g27tic","g28tic","sy29tic","sy30tic","cp1tic.2","short2tic.1","short3tic","short4tic","short5tic","short6tic","short7tic","short8tic","short9tic","short10tic","short11tic","fa1tic","fa2tic","fa3tic"
"AK-0-A","18437233","17923272","2864159.812","5766295.317","14654230.44","4842109","29189477","21985708","218967228","18167458","45080675","10743724","37802110","13727130","63717816","82175680","14773826","","2296002","16718266","32866979","274718569","278584648","11909241","28929245","","85000422","10029996","17872895","641030","96047107","96813172","194178602","11196247","","21419822","14862742","71680670","","49155290","9245953","30451647","6265917","13767500","95878885","18813466","40769607","28123907","11353886","2225278","650934","23289630","11345400","15297953","61529752","31144163","","","27913634","21671876","27913634","3535258","14318896","18559045","","3744089","","9381436","2332214","2064026","NF","6647202","22209578","13384894","17471494","7529891","7839838","NF","1333635","37713366","16274150","17732032","13181601","5020112","51340419","56356832","","22014209","15251381","7989619","312323097","312323097","142296308","93250658","28798587","19888916","240652240","73621384","82668434","184991410","","16220493","21193826","31728598","315445768","","8494220","NF","13528693","19362521","22404727","132441220","55637118","","","NF","14079222","30447469","35108704","NF","6230976","NF","33776734","46382154","22773045","224160833","38710985","58989141","4096757","","3684740","1306378","6185114","","275227336","33008191"
"AK-0-B","19847082","17880340","3272768.221","6853379.121","17521879.76","6101399","34200761","22391934","276100940","21246705","54536540","16885976","46642226","17167159","80334846","95102353","15899354","","2428844","18187236","37728115","304784062","302191173","12759710","34798937","","98159495","8011101","31404855","840358","135739815","117417466","220277606","15556469","","29815471","18122712","90952244","","58332822","12679310","35897400","8507192","17662062","130113517","24969904","55200008","39567835","13173911","3103432","440361","26073476","12925489","17228768","72371520","36122141","","","31982595","23079886","31982595","939670","20843719","22270326","","4629271","","11171234","2758703","1873530","NF","7084031","26497920","14162364","20172479","13370472","9296147","NF","3163974","46563322","20223127","21578224","14766573","5623814","57447224","59983601","","26573823","19578116","10851640","361109918","361109918","172090876","112014188","37202012","26478309","297899796","87172447","102042407","223539293","","18875005","NF","36320562","367379775","","12339569","NF","13878242","23874740","27291807","166123703","63544051","","","NF","20842135","35270434","44496020","4851760","7096157","NF","40397805","54128153","26330547","261503180","46538527","73789639","6407149","","4517012","1697208","6912243","","281578607","30047695"
"AK-0-C","30208845","28314471","4221868.655","8801515.857","22173718.39","7121538","38427781","31601700","311062628","26572136","61048066","20171332","56312455","20295553","83821065","116927698","19229647","","3241295","22914345","42626712","358804733","380745341","15963589","46595506","","92717410","11316191","30321213","884748","153964970","139055084","288860413","18375859","","34575193","20747040","104893945","","68975021","14835340","39667166","9933988","21486016","144754998","25403024","63861418","39997927","17517056","3716596","457332","34566551","17124327","21187606","93831160","43136148","","","41519022","49554861","41519022","113043","26037796","24818721","","6501831","","13660660","4057361","2641036","NF","8717423","27612209","17873561","22642762","15025057","11175535","3176918","1998023","56312455","24130892","29214236","20882284","NF","74351209","42143638","","34384720","39079097","11460450","438589292","438589292","201229816","136268234","46691976","28522165","344199590","103447728","120216958","257544175","","23274550","NF","42177110","432485930","","10422487","NF","NF","26490593","32681991","195677356","79816975","","","NF","26035875","50608357","45147372","1526087","8397014","NF","54301255","69950963","35210350","316800673","60512263","90588806","8612879","","4075453","3121131","9083315","","230205931","20774621"
"AK-0-D","17517255","15074177","2579910.699","5039603.463","13571608.59","4633607","27441877","18362827","203256524","16149377","38095906","12348499","34653482","12681724","58672382","74796699","11459522","","1933029","13939514","27565293","250870339","251606664","9962651","27030310","","87385500","7200775","20844500","604736","84137196","91171001","201775247","9777150","","21827101","12184102","76407172","","32204795","8126892","25364337","5176429","13525707","91214750","17878395","37272399","23365767","9918597","1813876","337654","19906667","10616470","13957510","56697719","27833030","","","24701158","17610791","24701158","NF","15723207","16179778","","3472907","","8185167","2077323","1320483","NF","5151656","16460349","11664349","15572908","8031801","6039310","1616696","1382302","34563215","14810941","17288270","12516457","3923988","48230452","27646951","","22176945","15664701","8420065","293739763","293739763","128653145","86046197","28498041","18049235","223189132","69221555","71445506","161238979","","13153072","NF","28010888","291087538","","9759529","NF","NF","18410465","17745847","123473925","51202249","","","NF","15456620","30393899","35333486","NF","3313919","12282848","31140754","40217277","19706507","201797523","33687354","55287785","3267645","","3814448","1143313","5035323","","167359279","5056152"
"AK-2-A","23745350","25597665","3084714.26","6104424.411","21475150.77","5822915","35915829","22432502","246339292","20236269","54395894","10790384","31656339","18377661","52873418","91111180","15586428","","2546633","18385134","30577058","330176410","324349428","11728997","42890014","9414300","120054013","10578697","","787219","126866961","99875864","169270983","15980932","","22437557","9516491","73983758","","46085366","12470618","28127737","7688010","15626881","111055536","14392402","50070166","NF","13238617","2182085","560177","25528863","9945992","19027836","36679891","31771811","","","42612267","53401309","42612267","2403999","22658363","4391339","","3454544","","9837468","3310815","2199878","6774432","6125495","434407","11121238","7568421","13419240","7716565","NF","NF","31586062","21273263","20323812","21809637","NF","51655702","26963947","","24144941","18081079","7786443","373323157","373323157","153659143","96855643","34998382","21710704","240577022","74333877","92508291","182160389","","25265013","NF","33305445","311830003","","8206946","NF","NF","18109916","22781170","164200417","60149528","","","19560770","22315256","30365214","38371515","5705424","5064469","21532400","32167139","63251493","21053006","178973399","44737041","80815752","6451178","","3673378","1536158","5414278","","134317159","3732434"
"AK-2-B","15219088","15847281","1831138.833","3573578.079","13431992.59","3095119","26751523","14585367","161375682","12825742","33814649","7641315","25684764","10427238","48531235","57962464","8359868","","1303764","10654818","17414866","207515776","204506112","6925259","20524024","6797410","118390660","7460804","12370992","546555","72704886","84205809","168163802","6155637","","20027348","7182599","69901748","","25128929","5918286","15532087","4180581","12616598","79719349","13680810","30935173","NF","8025015","1328796","196128","16958586","6666620","12898369","25247432","23801354","","","32644756","30608594","32644756","1618882","22991044","3069503","","2073665","","5387458","1573012","1126854","NF","3352339","143177","8080383","4757650","7340273","5138869","NF","583096","25591760","10427238","13156431","21606000","NF","42462945","20337971","","22401254","12049063","7637804","282849960","282849960","113135970","72042192","20592779","16107474","201426757","63140002","72175882","141897716","","13974097","NF","24145231","280683893","","9469329","NF","NF","16297511","16387726","122327540","47266708","","","16695105","21833612","23153392","34638597","6115011","4728314","9175739","24653203","31059697","12926576","117504421","24868399","50061004","2791217","","3465470","932328","3816758","","122235214","2239495"
"AK-2-C","10433167","12622841","1582756.027","2847369.225","11161443.23","3679168","20826846","12115675","126709766","5825631","27389413","4459496","17989493","7939321","30195476","48914524","7326565","","1306975","9722669","15691615","186429970","175837264","6766120","18650945","5253282","84289052","6107507","9545399","408464","57732838","58065533","105798039","5418323","","12550425","4833316","43192336","","21699252","5213770","14274446","3425859","9387005","56209281","9122908","24318835","NF","6414407","453874","35936","14302210","5201955","9978355","16827401","16502039","","","19855240","26490594","19855240","200310","NF","1655219","","1282506","","4960517","1557206","850233","3249762","3586289","NF","6270304","3462732","5322395","2850116","NF","595873","17989493","9101600","10533258","13459374","NF","30585650","15815642","","13155711","9435472","4928336","207187782","207187782","81673215","49271503","15810351","10376334","128435823","40441803","51217594","93643461","","11733102","NF","16496845","181700143","","7339132","NF","NF","9502595","11694230","84799140","30223556","","","10149841","NF","14933109","22573919","4509297","3217490","6891773","15947817","30002226","10152400","92375351","20172560","41905303","2253535","","3470298","565880","1397644","","83531424","3384946"
"AK-2-D","26694975","29144420","3612693.658","7535774.699","23578598.12","6600873","41230303","25768017","297238840","21907678","64068142","17183698","43511131","20805875","74185853","104911245","17332230","","2795924","21120926","36027937","384394445","397403545","14604227","49794940","12556168","159316239","10914179","","956475","155247398","132754543","276417798","18365210","","32623214","12367579","100545115","","52022128","14365271","32584674","9589558","19089250","144545196","22194075","60037827","NF","15120728","2335657","587782","30184024","11371750","21414273","59314955","42328652","","","43451378","63579491","43451378","4248223","24200132","8083576","","5032483","","12050128","3405493","2816792","7369265","6770100","2229084","12462909","9627648","17790903","10579512","NF","3065882","43426735","24397159","26478581","22290783","NF","70610114","36158928","","33672720","21868151","12083846","444455323","444455323","205409327","139544760","46746112","30321946","342059192","100239443","125499487","264615049","","31886192","NF","44769848","429844438","","11690601","NF","NF","26463261","34344041","215395505","77966257","","","29470293","25968724","46640187","53776512","3701584","5604319","21176635","38023362","65367120","27136653","207609425","56270385","90719987","7864511","","3404165","1665107","8039114","","153062886","7373427"
"AK-2-E","21777969","23112954","2678430.68","5805345.14","18545605.27","4307177","33481706","20699751","225633830","18199938","50121391","12064864","33172229","15955228","52476859","89017388","14685117","","2499641","17911179","27229821","311989572","314908205","11817209","38148012","9163781","119237103","9477957","18052906","702801","118731722","103740152","198831769","13473701","","23905340","8851646","75445815","","42896241","11121916","24973464","7171889","14472689","110787576","17505583","46390065","NF","12065278","2025545","389051","23260875","9241574","17937641","41065615","30183296","","","33478242","42645004","33478242","2179314","21444941","5531848","","3957797","","10077889","3169533","2048893","5955852","6858771","152311","10501836","7605855","12566989","7018773","NF","NF","33087771","18450943","21093878","18540672","NF","56546501","26243161","","22836661","15530767","8389809","347883289","347883289","154445794","98898942","34224558","19705245","244851533","73549657","91937153","180273755","","21076836","NF","33369261","321615149","","9361252","NF","NF","18790736","23171068","160946457","52891567","","","20403597","21625472","31258396","39342357","2684722","4293698","16812517","28919878","52333279","21689171","163469355","45690563","72074188","5429516","","3794585","1780592","5057440","","102167254","7140935"
"AK-3-A","20225946","21378758","2818774.129","5233123.729","18982863.04","4299139","30588989","20029164","216272370","16638767","46936705","14305821","29147836","15215162","44731644","82936240","14559565","","2095979","14983520","27633982","295966231","283016618","11631354","37021217","9461295","104735864","7807382","21022436","680454","115958207","97263993","177890085","12159125","","21129634","6685982","65231649","","40603032","11603824","24904446","7410749","14171950","106466774","15345415","45553401","NF","11651083","1966397","720669","22582801","9316555","16834587","34639772","25791956","","","35668072","38813859","35668072","1948789","22178864","4568305","","3863907","","8654732","2582633","1950881","6312803","5703927","NF","10108604","6321777","11812231","7129960","NF","NF","29147836","15215162","18121045","24332264","NF","50535211","18509055","","24495846","14991822","7896249","315043548","315043548","144453070","90548007","29805354","20523068","223188478","64698804","81958145","164108129","","20330261","NF","28993794","282611517","","8822448","NF","NF","17703074","21884868","142122834","54251122","","","18280260","20616134","27923108","39470150","5929499","3205607","16459283","35633106","53145446","21386032","159705671","39496954","72333327","4946086","","3856551","1439843","5196247","","77843403","9093321"
"AK-3-B","20682040","25038512","3006958.07","5583091.425","20059117.22","5784223","32171236","20626469","224069038","17623961","50472524","13018146","30838962","17181448","50999430","87448049","14761966","","2311353","16433334","27381656","328629643","316719668","11892417","43328135","9575835","128546359","8120701","24003104","689667","115365719","96242422","183363750","14739230","","21984416","6848918","71708781","","42874507","11909350","25099019","7766415","15275490","110800754","15813567","48888280","NF","12066261","1822933","499650","24549461","10232650","17914594","34155324","26868828","","","41045760","46282425","41045760","3170187","20566737","4976693","","3014295","","10498895","2559869","2031386","6526167","5946310","NF","10002506","7249750","9547771","7728099","NF","NF","30763938","20157094","19893698","23367683","NF","53460887","19956648","","22882840","15915169","7709596","376913420","376913420","144650976","88779719","31915161","19331413","229177169","69943829","85195653","166199010","","21207628","NF","31024975","310772086","","8875094","5371029","NF","18029536","21758785","155732996","60304418","","","17276367","20118300","31787833","38513632","3854505","3326260","13190133","33713736","54883742","19768002","162691364","40872163","76042977","5432455","","4748574","1780476","5455735","","97253477","8549894"
"AK-3-C","25716216","24176977","3799894.171","6944035.965","22620291.91","6235728","41329315","26321781","279018052","21041950","60875201","19809960","40356483","20054580","68328165","101222940","17845645","","2668332","20254645","37375011","349019592","360196369","15194453","45910649","13006174","145626800","11463159","","869308","142956008","125405174","247897584","16020279","","29687868","9384096","95967929","","51978885","14511208","35596082","9133445","20746538","142271686","21486740","60439615","NF","15298219","2521751","769470","29369047","13258484","20969497","44400341","36985028","","","47389048","57888597","47389048","7055759","26087073","15433962","","5721509","","11650303","3391688","2646469","7249272","6468243","10125800","15406771","12768482","12683387","9972216","NF","1302195","40272781","23592438","24736060","25063125","NF","68434666","26808356","","26463302","19783847","10875489","394786447","394786447","196561073","135742806","46580752","31060659","328721257","93300024","110835682","251071423","","25750075","NF","42407344","413519941","","12006236","NF","NF","25924676","32327089","205812126","76791175","","","28528347","26741795","41246714","57294013","5968391","4736818","21757750","44494823","63971136","28007025","237952255","51593195","88529212","6990519","","3253458","1609184","7458079","","150327643","12536599"
"AK-3-D","12761399","14173300","1825065.87","3106111.986","12695487.09","3439680","22799207","13225921","135545085","16892327","29554542","5268445","18407034","9889988","28839536","54031745","8959489","","1540903","10218966","16296499","206204745","191915168","8191054","22436413","5993069","74784155","5399839","9817570","402829","64700892","58181318","114178779","4949152","","12129822","3101697","39455494","","25147493","6360740","15006204","4040927","10183372","62667407","9834712","24924001","NF","7320953","650908","189207","14410366","5818913","10779236","17744201","15484706","","","22561081","34502364","22561081","987117","12064354","2068324","","1500059","","5116756","1858554","914418","3804250","3732244","NF","6898227","3771657","6796227","4641698","NF","851332","18407034","11242910","10724611","13999798","NF","32533799","10914335","","12705190","8053176","4270247","212910355","212910355","86080457","53475065","16897084","11934726","139123229","41518582","47475921","95165085","","10296854","NF","16950490","177797974","","6365232","2772634","NF","10543753","11190588","79928599","32228645","","","10895101","13135381","15531999","25173531","1577927","2415580","6548765","20264933","33201385","12069095","99165163","23325480","46987811","2583231","","3623573","975736","3653665","","89240124","2318803"
"AK-3-E","17336362","20121126","2433206.427","4658625.359","17144567.65","4360243","30531554","18305999","202578524","14530168","40394927","11531902","26518380","14327795","44715445","74974779","12038634","","1894946","13657999","23820981","261511943","248827830","10497304","32802151","8449810","100432382","7821988","18461717","612663","106713874","83132082","168999983","11208785","","17760436","5726421","59523973","","36620508","9626382","21854671","6195723","13646586","94151965","13974180","41139372","NF","9921476","1639222","340886","20402753","8293031","15758621","31487899","24533673","","","33222440","35778210","33222440","717143","18475571","3097049","","2389927","","7375053","2265569","1611280","5373278","5229536","NF","8966326","5404525","9584574","5899230","NF","878213","26467878","14327795","16233217","18960295","NF","46722307","17165411","","21388843","12988286","7071314","294031269","294031269","125902424","80927057","26967636","18920564","204230803","59864329","72651631","149556945","","17972400","11120921","26539869","263020133","","8411369","3573728","NF","16803131","16584443","127656871","49744412","","","18108760","18732554","25165015","38315907","4546630","3556648","14938596","30470259","47807690","16670698","145862155","33805837","65276541","4455566","","3319549","1249420","5072854","","65025221","6371247"
"AK-4-A","18721734","20617391","2793072.436","5226311.61","21332808.07","5111414","29503470","18571069","202177421","17092824","45488799","7520860","27751703","14348380","46107842","81781305","14569287","","2139091","15337524","25717660","308283396","295745161","11301010","39629578","7996438","98111219","11944353","21570754","631076","93927134","78531693","133160820","10478634","","14920986","11010847","57082692","","38419593","10829403","23304495","6537629","13340311","85438299","12199990","39555099","34608020","12148851","2354618","702376","23264684","10794305","17661187","36979407","25999570","","","32546141","29770904","32546141","4150220","15995932","5721657","","2619701","","7874769","2630991","1645863","5665271","5726000","1466729","8367221","6851496","10457012","6600543","NF","1293464","27751703","16950327","18674989","21987877","NF","44469477","20507685","","20277578","11067162","5990837","327365042","327365042","118677544","70408296","26896297","16556896","182650297","63244690","75697350","138446424","","20022943","NF","26403068","259758443","","7022292","NF","NF","14276676","14515510","126117393","47382449","","","14788196","18525274","33667357","27337739","NF","7103191","14142456","37875667","56317152","16790096","156223265","36920373","74023100","4708103","","5028013","1297973","4536335","","84695065","10231165"
"AK-4-B","11292401","8966460","2146524.373","2996348.371","11706000.83","3083374","24111319","16223483","137011803","13352743","28394303","8698079","21149209","9993340","41325798","55427396","9186941","","1304741","9368029","21692160","196276347","180582147","8428032","18017545","7176423","79751882","6296682","14248340","463337","53460712","63826415","133920445","5237830","","12123848","7794318","57346389","","25689741","5847403","19963524","3977301","9608730","61272389","10743764","27594701","NF","7582673","1469489","569504","25648664","8388493","11420814","25156770","19750458","","","22555149","17780036","22555149","205169","16727355","16826111","","2475070","","5749713","1630277","1094400","NF","4165453","20997390","10356312","15840025","5309953","4244083","NF","991373","21149209","11674511","12195621","16232702","2576074","36251039","13160952","","18195554","6245120","5058546","225113390","225113390","93031195","58714367","17469921","13388162","158957277","53316181","51808141","112578194","","8541827","NF","19960506","217818363","","9564484","NF","8305929","14606273","11763048","96215575","43307728","","","10929458","16727355","21378535","29675029","NF","2774627","11966104","27752786","28819787","14027369","170390701","21551417","42981142","2487670","","3678807","253400","3055437","","55037182","3546627"
"AK-4-C","24019150","17403257","5585057.916","7259630.296","25093762.66","8168393","47763354","37194738","303532376","22877832","63897930","25607644","47854176","19798875","87029915","106401715","19735544","","2722894","19978659","67719890","380681634","374116568","15623363","43467371","","145052367","15118315","36386198","918778","133201547","128702459","266353202","16960250","","28502376","18417541","106056293","","51374095","14409426","64682633","9740068","19454794","131692044","23540095","64779483","NF","15794987","4889452","1894603","34491882","20509692","23347786","57218368","44223061","","","49961027","43928030","49961027","1802346","31504301","76290865","","7141027","","10855230","3376002","NF","NF","9333107","110918602","31540776","74835914","10639384","12223092","2877735","2247470","47854176","23910523","22924007","22306981","6943035","69701563","29651986","","33271723","16347595","10293886","422714693","422714693","197520369","131354412","44326372","31386266","331082613","106037224","107850103","246831520","","21510792","NF","43661244","424282328","","14832639","NF","19135045","31333375","32263351","205770997","99356495","","","NF","30900157","43845236","50769751","NF","5315614","14051656","57757179","68665948","33018470","577591434","46048060","92159455","8577030","","4105918","1345162","8725944","","167237612","10414033"
"AK-4-D","29484594","13602496","4596634.383","5352019.77","18504269.25","7168891","38626657","31098367","228777448","16385729","48418559","19743065","37213686","13193992","74789336","79077454","12786408","","2021923","14112388","62015768","276815244","279630993","11989880","30644089","","119290238","10744135","26026175","698116","80004080","90374887","214525804","10742174","","19661707","14837529","78598201","","37853241","8767024","61507213","7295111","15879809","90445480","19017133","50065755","NF","11997610","4387447","1869093","26111949","18918074","18201194","41810572","37096210","","","35061660","23002765","35061660","2066017","19182896","80908677","","6387807","","8627323","2572771","NF","NF","8800478","125810662","31947646","84486277","7028597","10871377","2968172","1928359","37213686","15312594","18424405","15527950","6320423","58403528","25210861","","22216061","11534766","6856695","327516172","327516172","140822682","88002274","29283351","20147126","244121581","80442954","77160743","169275259","","14283871","NF","29690158","330358760","","12804851","3411058","14224279","20400468","19158090","143867963","73001125","","","4090926","21940295","31212764","36723171","NF","4886823","7608890","45744392","61520643","30405440","583907577","31245210","67652658","6815720","","4000846","1091283","5976899","","143957412","10354107"
"AK-4-E","11027633","7238609","1985579.674","2700675.247","11506425.36","2807088","21596787","12571151","133845995","7521152","26996463","6753960","19006565","9816817","32976020","48240469","7737150","","1228368","6808801","21405885","187170553","163563261","7265852","15751963","","71236048","6151628","9347219","403501","49530790","57858827","117607353","4744686","","9788857","6473322","41389699","","23668398","4909595","20022729","3568877","8917196","56051169","9743737","24695861","NF","6453680","1343075","698034","23485523","7373044","10754529","19223219","18151901","","","18839826","13293553","18839826","801141","14540786","16591960","","2064441","","4503425","1206429","1150893","NF","4294518","21368612","10365514","16538556","4086761","4011030","NF","708000","18943026","11091697","10737223","11063847","2482749","34498386","11255815","","12047167","5505820","3867573","203563488","203563488","81663789","47543205","14978404","10892468","132169308","43821779","46839860","89305517","","6584066","NF","16318609","180880836","","8371983","NF","6982984","11324979","10022297","76238055","34017726","","","7788613","14517830","15317122","21819359","NF","3917060","8763770","24931438","29655757","12851556","175054907","18839385","42258529","1822270","","3341619","","2506888","","50079040","5832625"
"KL-0-A","13323667","12640832","2418320.298","4870712.783","7648452.867","3929298","24975477","22194386","197734305","20493301","36306700","17267066","59741890","16785095","43376854","80883181","13504204","","1769753","19208731","33969658","336584031","280578900","9816942","26904515","7402678","112749228","10614806","37417028","654315","147183372","141155719","164969477","12869126","","54651650","14681493","57247175","","41167583","10612773","32424775","7936349","17852552","139518186","27145885","53398321","23658189","10997835","2688628","726436","24146136","10299818","14170149","67272954","17016287","","","39734504","49385600","39734504","1795653","24692221","13677529","","2995684","","9455902","2914459","2256431","NF","6662387","12690465","14468180","13546644","14796227","8783670","2888687","1563921","59741890","19799502","16641550","13200690","5691198","49251240","29354169","","31020769","31139366","11187760","324238844","324238844","166478890","81457499","30469602","21207935","258391169","49647665","111742093","190579330","","13730413","NF","32453979","321710679","","12639846","NF","11220082","21262815","28712544","150820879","65510702","","","NF","24689030","34078782","45279125","11280688","8732206","19499778","50408577","44722827","21699289","241134926","34321467","58159462","4626987","","5549928","1733966","8580909","","174930226","9378503"
"KL-0-B","11428045","10381103","2038247.863","3878988.725","6106026.301","3559799","17441351","17619453","147877063","15276142","27562278","12588544","47096873","13757696","32379597","66039211","11973360","","1495226","15522922","26490724","266168495","218081569","8393902","21860316","6436810","73760813","7861964","24630167","458833","120149443","108725992","126016502","8680971","","41815398","10160746","44401642","","33045360","8809820","24096949","6788279","14282387","110639342","22831610","41864346","NF","9374836","2258066","1456936","20451199","9283334","11181778","57029315","13760951","","","31278051","36728697","31278051","661494","19113921","8791375","","1921286","","7412398","2084573","1548375","NF","5656696","6930610","10121024","8749752","13665666","6734074","2176012","1482583","47018317","16003666","15728616","12786065","4972962","36656576","22315120","","23145040","18723240","7952621","239765980","239765980","130736642","64182724","23348132","16934796","195408574","37036056","80372435","142766433","","9858684","NF","24865581","241807304","","8830682","NF","8547972","15606696","22512153","110408215","46603630","","","NF","19014630","23063791","37213745","9802264","7413295","9225749","40663597","36336203","18290180","179924748","27902160","46802411","3390643","","4353852","1215718","5078415","","140304655","5869811"
"KL-0-C","11584463","12155791","1975717.614","3809928.504","5903691.38","3144982","19330793","17553205","152389537","15515457","27702326","13410043","47901161","12602928","34556220","63119350","10853786","","1344617","14265005","23536899","237891362","203565617","8052619","20274266","6488567","86749720","8730454","24601795","499255","118779718","117353977","143448600","8193144","","43103154","11567550","49307714","","33952639","8631659","22004918","6619639","15559224","113648413","22750155","42575437","18152324","8006440","1780991","327928","19573988","8022630","10991261","48957522","13047948","","","38249861","67206544","38249861","348984","19690105","5764505","","2009310","","7148777","2142973","1599045","NF","5084318","2493022","8533550","6109246","11632966","6006674","2410722","1685016","47901161","15044028","14826705","14130044","NF","38406426","19482458","","NF","22431665","8671690","244916284","244916284","134856758","67144816","23011810","17357137","208196607","41629452","85481728","153255085","","10430637","NF","25788764","270718497","","10831525","NF","NF","17929622","22888829","122718633","54144312","","","NF","19585880","25022268","40326507","9957803","6810974","12466018","43170891","34322466","18846102","164605351","26753262","46353675","3566747","","4761808","1406040","6579856","","156261052","6590156"
"KL-0-D","10912611","10441342","2172171.33","3895578.439","6081043.073","3479441","19724483","18379933","153095100","16341786","27798169","14020329","49366693","13186784","35180784","66772594","10547308","","1554821","15222175","27144550","280219677","231880857","8577849","22519060","7087551","96862145","8398453","31667969","514941","115051505","120115384","143842169","10647183","","45431871","11383141","50562606","","35269792","8655397","24859707","6517847","14113815","117952154","24543891","43691726","NF","9170660","2134312","1404315","19872114","9134621","11863853","53421129","13927952","","","35796972","44772950","35796972","1359686","18871871","10964701","","2159276","","7887395","2567410","1906145","NF","5648628","9380089","11842301","11080093","12294792","4641862","2437760","1067895","49366693","16027945","15375129","13355758","4468458","40263819","19670076","","22130963","23129762","8605791","273019666","273019666","141385276","65937243","24315873","19148672","216052983","40416867","91100926","153977937","","10515586","NF","26107555","272819420","","9706930","NF","8869519","17867897","22504434","126984576","52241335","","","NF","19118395","26250472","41524091","NF","5292211","10379771","41373858","35577702","17893700","193602430","29637706","48043370","3668492","","4571201","1180262","4908890","","164597876","6464753"
"KL-2-A","16631954","22181331","2977937.882","5322724.24","11613346.13","4339108","33860569","20906442","208469123","22329804","42219305","19914456","60350396","19070315","40480300","84996783","17515300","","2166310","21308001","33291997","429032814","362692130","11507671","43380703","10017865","147422455","11441550","38780348","753764","187328363","144738089","158389910","18203238","","62055244","12208223","49772100","","49597716","13414271","30699589","10569376","20278303","151419864","27047079","64647544","32436810","14550441","2949362","588641","32273859","10261460","19358276","52579789","22874449","","13022472","59584321","166342845","59584321","2719169","29409066","3649820","","2740934","","10642492","3800225","2793502","7791903","7626049","766648","12376988","7986996","19186318","9671795","3058044","1770225","60350396","19070315","28337835","28499083","5681878","54593426","26251303","","35438760","40160304","10475435","429094116","429094116","198756039","92549053","38650064","25990113","295190982","56673294","135014999","221649791","","24866522","13176095","40968240","388112437","","11349150","13053674","NF","23477888","35427468","194643183","74069636","","","21654329","29510346","35228109","42239090","13998954","6876293","7144065","58141310","57538661","20247065","220271948","37464885","73162875","6227672","","4817476","3153172","6800840","","137878571","6189355"
"KL-2-B","8113671","7524266","1811738.962","2923700.023","6613696.102","3107140","26468540","16372214","128330320","12685793","26546245","10992508","34614840","12582763","23146468","58028174","9455981","","1398609","14588856","23371300","269076388","218474954","7462713","21771360","7573485","100153954","8732310","16538478","438595","105800041","97872457","98359179","8267375","","34442109","5897471","33166675","","31762508","7901647","20778394","5996745","12445549","100346417","18340714","39124329","NF","8019167","1378061","831551","17837927","7075000","11309932","25432737","12907514","","","30673310","68427882","30673310","1065199","21405242","8369821","","1551232","","6562045","2162600","NF","NF","5073895","5239162","10269872","7201522","9757408","4698133","NF","1146797","34614840","12582763","16718813","18070117","NF","33002239","14198148","","19662750","20898220","6935421","242240174","242240174","120433858","57076316","33043686","16149102","184675644","36291275","78085512","127376432","","11120461","NF","23728340","227542566","","9136583","10140537","NF","13587757","19411742","111866772","43222118","","","14641567","21010806","18340846","36664324","15986146","6461716","8963423","31889673","32883769","14918211","152811752","24570264","43858871","2628382","","3964505","1292087","2630348","","107017207","1130749"
"KL-2-C","16859426","18570263","3140572.93","5642048.828","11035073.46","5304036","37257563","25255498","215926594","21341737","45907407","21791458","59928115","21873573","37876250","95804277","16374520","","2532478","24706619","37352288","433729932","370265563","13326462","43425477","11485543","139871509","12442808","37608179","737807","190794665","153246725","152716314","18116274","","60503804","11585043","59258293","","56259539","16012045","35510727","11580479","19890352","167121132","26638426","69958773","32715378","13604552","3046342","312715","30728202","11874762","18268225","50513213","22368579","","","48480385","124081449","48480385","3074338","32567053","9982782","","2573953","","12348395","3435400","2720757","7554598","7812630","3735614","14344190","12890216","17533651","9900509","2908193","1516979","59855022","21873573","21108052","27221255","NF","49794749","21482621","","33671129","35867141","11230579","371364728","371364728","213574260","106247606","41765144","29148002","310197008","56888442","141042171","234971746","","23618256","NF","43066004","380839451","","10910035","16206691","NF","24484101","35919624","195704979","72717832","","","22576270","33920586","37858467","53331835","20130213","8015003","19693450","55843139","60986595","26892211","230772750","46172930","75071689","6505810","","6054632","2816766","7224905","","106719590","8959703"
