"","diff_lig R","diff_lig p","diff_lig sig","diff_lig/acc_resp R","diff_lig/acc_resp p","diff_lig/acc_resp sig","diff_ch R","diff_ch p","diff_ch sig","diff_ch/acc_resp R","diff_ch/acc_resp p","diff_ch/acc_resp sig"
"C.Pmic","0.692358217857629","0.000717073294240755","***","0.64615214530186","0.00208428271383876","**","-0.787044643394415","3.833241744632e-05","***","-0.692836646563937","0.000708493919595807","***"
"N.Pmic","0.58209616708176","0.00708719768156985","**","0.586814228438385","0.00653083887088224","**","-0.728666843166447","0.000268599413186594","***","-0.687452840592291","0.000810232823402688","***"
"DOC","0.609457217801517","0.00433503051391759","**","0.481638541263512","0.0315346367606124","*","-0.766019383845943","8.22957737937787e-05","***","-0.596542213671086","0.00549639086582634","**"
"TN","0.476176327694313","0.0338034495448061","*","0.358676227025","0.120431898186351","n.s.","-0.730457100402675","0.000254905621863232","***","-0.631722837275796","0.00281010868036078","**"
"DON","-0.604133867028199","0.00478632287942118","**","-0.435462772944455","0.0549726371266514",".","0.569676679724602","0.00873955928383285","**","0.360328953237683","0.118608301605668","n.s."
"pH.H2O","0.0310800163097551","0.89650701826765","n.s.","-0.00685407736192535","0.977120731495619","n.s.","0.0502142249672859","0.833482534747533","n.s.","0.0143659777178967","0.952065991348404","n.s."
"total.PFLA.content","0.219521582761423","0.366527800322764","n.s.","0.200242846516444","0.411101607661148","n.s.","-0.171709373558904","0.482118561370404","n.s.","-0.148971200065286","0.542737400380137","n.s."
"identified.PLFA.content","0.218304859663423","0.369256864016551","n.s.","0.195959919847877","0.421384551625027","n.s.","-0.165121169418793","0.499330072603512","n.s.","-0.138584450865136","0.571524673825686","n.s."
"approx..Fungal.Biomass","0.250646764744393","0.300663022682534","n.s.","0.214746307781644","0.377304142014659","n.s.","0.119096349849213","0.627236351986767","n.s.","0.154573931673898","0.527487461215895","n.s."
"main.fungal.marker.18.2.9.12.c","0.250794271894514","0.300369172856586","n.s.","0.214864293112364","0.377035768409666","n.s.","0.11889518539822","0.627822329599431","n.s.","0.154473814403093","0.527758213736656","n.s."
"Sum.of.gram.positiv.markers","-0.0325493443453144","0.894761581975041","n.s.","0.0360595553911682","0.883482438704886","n.s.","-0.189369414582933","0.437471973778095","n.s.","-0.258316055507801","0.285615835953617","n.s."
"Sum.of.general.bacterial.markers.incl..gram.","0.231043106017092","0.341256531324406","n.s.","0.207725069588574","0.393466660791479","n.s.","-0.259037237206446","0.284225114628323","n.s.","-0.231835896455298","0.339555848159807","n.s."
"ratioF.B.1","0.307083638092261","0.200952079444964","n.s.","0.187745145360333","0.441485480740485","n.s.","0.349936585184392","0.141916481680182","n.s.","0.472379651961313","0.0411268409282755","*"
"ratioF.B.2","0.1866692312882","0.444154530739574","n.s.","0.180157131527948","0.46048643357551","n.s.","-0.0602534698169214","0.806432761781186","n.s.","-0.0125264388569485","0.959408155738737","n.s."
"ratioF.B.3","-0.257259895909057","0.287660051641262","n.s.","-0.221176152555854","0.362835060506191","n.s.","0.653593560424152","0.00240600412653125","**","0.630467155020912","0.003805898093866","**"
"acc_resp","0.0680981595332133","0.775440506375748","n.s.","-0.106455320613538","0.655090891864283","n.s.","0.292697761290083","0.21044312022381","n.s.","0.541820974716032","0.0136003967646094","*"
"CN_inbal","-0.560189534930042","0.0102027819841064","*","-0.466553149641043","0.0381085293077745","*","0.810159491253926","1.4924116967352e-05","***","0.676264360876319","0.00106162494122719","**"
"CP_inbal","-0.816775460212626","1.1128840503575e-05","***","-0.780402099547384","4.92288240745303e-05","***","0.663130821479834","0.00143769202391297","**","0.501582272346673","0.0242451708649769","*"
"NP_inbal","-0.799879884747624","2.30422407044508e-05","***","-0.780054037501124","4.98667775733793e-05","***","0.582251992845312","0.00706822258410567","**","0.435255162044587","0.0551016584286841","."
